Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
Co,6,96.2517,96.236,96.6327,95.9418,93.2963,92.2674,94.3103,96.5331,100.3605,101.052,101.6017
Co,9,109.6053,104.8116,102.0699,100.0992,98.2168,96.5289,95.698,94.8601,93.0951,93.4773,93.6528
Co,6,108.7871,107.5685,107.0496,108.3136,107.8419,106.9727,107.3398,108.0375,109.2753,107.2298,109.4266
Co,11,104.0557,99.653,99.6662,97.8642,97.2912,95.2835,93.8672,96.4202,94.0184,94.2398,91.2384
Co,1,38.503,39.0054,39.0359,40.9323,42.0292,43.0207,45.6977,45.9452,47.0535,47.3459,48.6011
Co,2,92.4677,92.3989,93.5797,95.0891,96.4509,97.5683,101.4938,104.1335,106.5392,105.4812,106.7823
Co,4,104.7256,103.309,102.2892,99.8449,101.0914,100.9656,104.8165,107.7739,111.1576,109.4797,111.9399
Co,3,103.1941,99.9658,99.5693,101.3105,100.3204,101.2923,102.9142,105.3172,108.3748,108.8856,109.3661
Co,4,111.564,108.7335,107.8693,106.3521,107.4842,108.2648,108.9624,108.7521,108.4138,107.7637,107.2405
Co,2,76.818,75.4077,77.4128,78.1021,82.6906,84.1867,86.9189,87.3556,84.3537,84.1919,84.4254
Co,2,48.5244,47.5075,48.0553,49.6294,50.4114,49.6611,51.2055,51.1836,52.8231,54.7899,56.8401
Co,9,100.5598,100.0426,97.8111,99.1918,97.9054,97.0319,97.9229,98.0884,96.4976,97.6789,96.9138
Co,6,105.1767,103.8288,101.9863,100.2596,99.9212,99.7831,101.9734,105.8676,105.2414,106.8339,110.5811
Co,3,26.1257,25.9166,25.8453,26.2662,25.9394,26.3813,27.2602,28.0316,28.6854,28.5547,28.5643
Co,10,96.9404,98.3776,96.9675,98.5595,97.4413,96.2653,93.9285,92.6264,94.3525,91.9476,93.5069
Co,5,102.1154,101.6997,99.7711,98.848,98.2258,100.3666,103.4075,104.6694,102.8731,103.2305,101.9853
Co,1,99.4847,99.9024,100.2813,101.9671,101.6452,104.2864,106.9457,109.6028,111.5729,112.7751,112.2332
Co,5,107.9793,109.1732,104.2998,100.637,98.6425,100.0317,101.4549,104.3744,107.1398,108.0505,109.2874
Co,5,61.115,60.9736,60.3713,60.133,58.6125,60.0017,60.5324,62.4099,62.4518,64.2252,64.2829
Co,1,32.2721,32.8045,33.0058,34.6587,35.2277,35.7722,37.7538,38.6529,39.9518,40.3025,41.3593
Co,1,99.6532,102.5029,102.0067,103.5766,102.1192,106.034,107.2867,113.0193,109.3381,110.5175,108.4928
Co,6,94.6634,94.6668,94.5193,93.7622,93.4128,90.2309,91.4397,97.7223,97.5573,100.9613,100.6292
Co,1,60.0553,61.4037,61.6655,64.7148,61.9247,62.7853,62.1051,62.3834,61.7269,61.7592,62.5971
